Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
1;Alchemy of Souls;A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.;International TV Shows, Romantic TV Shows, TV Comedies;Lee Jae-wook, Jung So-min, Hwang Min-hyun, Yu Jun-sang, Shin Seung-ho, Oh Na-ra, Cho Chae-yun, Yoo In-soo, ARIN;;;June 19, 2022;2022;TV-14;;1 SEASON;
2;Bhool Bhulaiyaa 2;When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.;Comedies, Horror Movies, International Movies;Tabu, Kartik Aaryan, Kiara Advani, Rajpal Yadav, Sanjay Mishra, Ashwini Kalsekar, Rajesh Sharma, Amar Upadhyay;Anees Bazmee;India;June 19, 2022;2022;TV-14;142;;7
3;Civil: Ben Crump;"Ben Crump, also known as ""Black America's attorney general,"" pulls back the curtain on his life as a family man and civil rights leader.";Documentaries;Ben Crump;Nadia Hallgren;;June 19, 2022;2022;PG-13;102;;
4;It;As kids vanish throughout town, a group of outcasts must face their biggest fears as well as a murderous, terrifying and seemingly invincible clown.;Horror Movies;Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Bill Skarsgård, Finn Wolfhard, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Nicholas Hamilton;Andy Muschietti;United States, Canada;June 19, 2022;2017;R;135;;7.2
5;No Regrets in Life;An ill-fated college couple accidentally becomes a viral sensation after a fight. Now, they must figure out how they feel – with the world watching.;International TV Shows, Romantic TV Shows, TV Dramas;Liu Kuan-ting, Annie Chen, Shih Ming-shuai, Summer Meng, JC Lin, Aggie Hsieh, Phoebe Yuan, Katie Chen;Fung Kai;;June 19, 2022;2022;TV-MA;;1 SEASON;
6;Charmed;After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.;TV Dramas, TV Sci-Fi & Fantasy;Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie;;United States;June 18, 2022;;TV-14;;4 SEASONS;4.4
7;SPRIGGAN;An ancient civilization's relics on Earth hold dangerous powers — it's up to ARCAM Corporation's Spriggan agents to keep them out of the wrong hands.;Anime Series, International TV Shows;Chiaki Kobayashi, Yohei Azakami, Kenji Hamada, Akio Otsuka, Mariya Ise, Ken Narita, Ayumu Murase, Yoshimasa Hosoya, Takehito Koyasu, Tetsu Inada;;;June 18, 2022;2022;TV-MA;;1 SEASON;
8;Rainbow High;The popular fashion dolls come to life in this animated series as they let their talents and true colors shine at the visual arts school, Rainbow High.;Kids' TV;Tara Sands, Anairis Quiñones, Laura Stahl, Jenny Yokobori, Kira Buckland, Brittany Cox, Brittany Lauda, Christian Banas, Rebeka Thomas, Hayden Summerall, Deneen Melody;;United States, Australia;June 17, 2022;2021;TV-Y;;2 SEASONS;6.2
9;She;An undercover assignment to expose a drug ring becomes a timid Mumbai constable’s road to empowerment as she realizes her dormant sexuality's potential.;Crime TV Shows, International TV Shows, TV Dramas;Aaditi Pohankar, Vijay Varma, Vishwas Kini, Kishore Kumar G., Shivani Rangole, Suhita Thatte, Sandeep Dhabale, Saqib Ayub;;India;June 17, 2022;2022;TV-MA;;2 SEASONS;6.4
10;Spiderhead;A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.;Thrillers;Chris Hemsworth, Miles Teller, Jurnee Smollett, Mark Paguio, Tess Haubrich, Angie Milliken, Stephen Tongun;Joseph Kosinski;;June 17, 2022;2022;R;107;;
