Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
1;Alchemy of Souls;Una poderosa hechicera en el cuerpo de una mujer ciega se encuentra con un hombre de una familia prestigiosa, que quiere que su ayuda cambie su destino.;International TV Shows, Romantic TV Shows, TV Comedies;Lee Jae-wook, Jung So-min, Hwang Min-hyun, Yu Jun-sang, Shin Seung-ho, Oh Na-ra, Cho Chae-yun, Yoo In-soo, ARIN;;;June 19, 2022;2022;TV-14;;1 SEASON;
2;Bhool Bhulaiyaa 2;Cuando los extraños Reet y Ruhan cruzan los caminos, su viaje conduce a una mansión abandonada y un espíritu temido que ha estado atrapado durante 18 años.;Comedies, Horror Movies, International Movies;Tabu, Kartik Aaryan, Kiara Advani, Rajpal Yadav, Sanjay Mishra, Ashwini Kalsekar, Rajesh Sharma, Amar Upadhyay;Anees Bazmee;India;June 19, 2022;2022;TV-14;142;;7
3;Civil: Ben Crump;"Ben Crump, también conocido como ""Fiscal General de la América Negra"", retira el telón de su vida como hombre de familia y líder de derechos civiles.";Documentaries;Ben Crump;Nadia Hallgren;;June 19, 2022;2022;PG-13;102;;
4;It;A medida que los niños desaparecen por toda la ciudad, un grupo de marginados debe enfrentar sus mayores temores, así como un payaso asesino, aterrador y aparentemente invencible.;Horror Movies;Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Bill Skarsgård, Finn Wolfhard, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Nicholas Hamilton;Andy Muschietti;United States, Canada;June 19, 2022;2017;R;135;;7.2
5;No Regrets in Life;Una pareja universitaria desafortunada se convierte accidentalmente en una sensación viral después de una pelea. Ahora, deben descubrir cómo se sienten, con el mundo observando.;International TV Shows, Romantic TV Shows, TV Dramas;Liu Kuan-ting, Annie Chen, Shih Ming-shuai, Summer Meng, JC Lin, Aggie Hsieh, Phoebe Yuan, Katie Chen;Fung Kai;;June 19, 2022;2022;TV-MA;;1 SEASON;
6;Charmed;Después de la trágica muerte de su madre, un trío de hermanas se une sobre sus poderes recién descubiertos, vence a los demonios y se unen para defender su legado mágico.;TV Dramas, TV Sci-Fi & Fantasy;Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie;;United States;June 18, 2022;;TV-14;;4 SEASONS;4.4
7;SPRIGGAN;Las reliquias de una antigua civilización en la tierra tienen poderes peligrosos: depende de los agentes de Spriggan de Arcam Corporation para mantenerlos fuera de las manos equivocadas.;Anime Series, International TV Shows;Chiaki Kobayashi, Yohei Azakami, Kenji Hamada, Akio Otsuka, Mariya Ise, Ken Narita, Ayumu Murase, Yoshimasa Hosoya, Takehito Koyasu, Tetsu Inada;;;June 18, 2022;2022;TV-MA;;1 SEASON;
8;Rainbow High;Las muñecas de moda populares cobran vida en esta serie animada, ya que dejan que sus talentos y verdaderos colores brillen en la Escuela de Artes Visuales, Rainbow High.;Kids' TV;Tara Sands, Anairis Quiñones, Laura Stahl, Jenny Yokobori, Kira Buckland, Brittany Cox, Brittany Lauda, Christian Banas, Rebeka Thomas, Hayden Summerall, Deneen Melody;;United States, Australia;June 17, 2022;2021;TV-Y;;2 SEASONS;6.2
9;She;Una asignación encubierta para exponer un anillo de drogas se convierte en un tímido camino del agente de Mumbai hacia el empoderamiento al darse cuenta de su potencial de sexualidad latente.;Crime TV Shows, International TV Shows, TV Dramas;Aaditi Pohankar, Vijay Varma, Vishwas Kini, Kishore Kumar G., Shivani Rangole, Suhita Thatte, Sandeep Dhabale, Saqib Ayub;;India;June 17, 2022;2022;TV-MA;;2 SEASONS;6.4
10;Spiderhead;Un prisionero en una penitenciaría de última generación comienza a cuestionar el propósito de las drogas que controlan la emoción que está probando para un genio farmacéutico.;Thrillers;Chris Hemsworth, Miles Teller, Jurnee Smollett, Mark Paguio, Tess Haubrich, Angie Milliken, Stephen Tongun;Joseph Kosinski;;June 17, 2022;2022;R;107;;
11;The Healer;Un personal de mantenimiento que ha golpeado el fondo de rock acepta vivir con su tío lejano, que insiste en que su capacidad para arreglar las cosas se extiende más allá del taller de reparación.;Children & Family Movies, Dramas, Faith & Spirituality;Oliver Jackson-Cohen, Camilla Luddington, Jonathan Pryce, Jorge García, Kaitlyn Bernard;Paco Arango;;June 17, 2022;2017;TV-14;108;;6.4
12;The Martha Mitchell Effect;Este documental perfila a la esposa del gabinete que habló durante Watergate, y la campaña de la administración de Nixon para el silencio.;Documentaries;;Anne Alvergue, Debra McClutchy;United States;June 17, 2022;2022;PG;41;;
13;The War Next-door;Cuando dos familias antagónicas terminan viviendo al lado en un elegante vecindario, las matriarcas siguen una guerra a gran escala de consecuencias no deseadas.;International TV Shows, Spanish-Language TV Shows, TV Comedies;Vanessa Bauche, Ana Layevska, Mark Tacher, Pascacio López, Elyfer Torres, Armando Said, Christian Vazquez, Marco León, Loreto Peralta, Isabella Patrón, Sara Isabel Quintero, Cecilia de los Santos Vargas;;Mexico;June 17, 2022;2022;TV-MA;;2 SEASONS;5.7
14;You Don't Know Me;Cuando toda la evidencia apunta hacia su culpa, un hombre en juicio por asesinato usa su argumento final para contar su historia de amor con una mujer misteriosa.;British TV Shows, Crime TV Shows, International TV Shows;Samuel Adewunmi, Sophie Wilde, Bukky Bakray, Roger Nsengiyumva, Tuwaine Barrett, Yetunde Oduwole, Nicholas Khan;;United Kingdom;June 17, 2022;2022;TV-MA;;1 SEASON;6.7
15;Cold Case Files;Los detectives magistrales utilizan la ciencia forense y la psicología criminal para volver a examinar los casos de larga data.;Crime TV Shows, Docuseries;;;United States;June 17, 2022;2017;TV-MA;;1 SEASON;7.8
16;Collision;En el transcurso de un día fatídico, un hombre de negocios corrupto y su esposa socialité corren para salvar a su hija de un notorio señor del crimen.;Dramas, International Movies, Thrillers;Langley Kirkwood, Zoey Sneedon, Siphesihle Vazi, Mpho Sebeng, Vuyo Dabula, Tessa Jubber, Samke Makhoba, Pheello Kotelo, Thamsanqa Booi, Louis Ngcayiya;Fabien Martorell;;June 16, 2022;2022;TV-MA;99;;
17;Dead End: Paranormal Park;Dos adolescentes y un pug parlante se unen a los demonios de batalla en un parque temático embrujado, y tal vez incluso salvan al mundo de un apocalipsis sobrenatural.;Kids' TV, TV Comedies;Zach Barack, Kody Kavitha, Emily Osment, Alex Brightman, Clinton Leupp;;;June 16, 2022;2022;TV-Y7;;1 SEASON;
18;Kabuki Akadousuzunosuke;"La última entrega de la serie ""Idomu"" del actor de Kabuki Matsuya Onoe presenta a Toma Ikuta en su primer papel de Kabuki.";Dramas, International Movies;Matsuya Onoe, Toma Ikuta, Kangyoku Nakamura, Kuniya Sawamura, Tsutanosuke Ichikawa, Kikuji Onoe, Tokumatsu Onoe, Takamatsu Onoe, Matsumushi Onoe;;;June 16, 2022;2021;TV-PG;169;;
